Benchmark,(prefix),(size),Mode,Cnt,Score,Error,Units
Mismatch_Handwritten,10,100,thrpt,10,22.360,± 0.938,ops/us
Mismatch_Handwritten,10,1000,thrpt,10,2.459,± 0.256,ops/us
Mismatch_Handwritten,10,10000,thrpt,10,0.255,± 0.009,ops/us
Mismatch_Handwritten,100,100,thrpt,10,22.763,± 0.869,ops/us
Mismatch_Handwritten,100,1000,thrpt,10,2.690,± 0.044,ops/us
Mismatch_Handwritten,100,10000,thrpt,10,0.273,± 0.008,ops/us
Mismatch_Handwritten,1000,100,thrpt,10,24.970,± 0.713,ops/us
Mismatch_Handwritten,1000,1000,thrpt,10,2.791,± 0.066,ops/us
Mismatch_Handwritten,1000,10000,thrpt,10,0.281,± 0.007,ops/us
Mismatch_Intrinsic,10,100,thrpt,10,89.169,± 2.759,ops/us
Mismatch_Intrinsic,10,1000,thrpt,10,26.995,± 0.501,ops/us
Mismatch_Intrinsic,10,10000,thrpt,10,3.553,± 0.065,ops/us
Mismatch_Intrinsic,100,100,thrpt,10,83.037,± 5.590,ops/us
Mismatch_Intrinsic,100,1000,thrpt,10,26.249,± 0.714,ops/us
Mismatch_Intrinsic,100,10000,thrpt,10,3.523,± 0.122,ops/us
Mismatch_Intrinsic,1000,100,thrpt,10,87.921,± 6.566,ops/us
Mismatch_Intrinsic,1000,1000,thrpt,10,25.812,± 0.442,ops/us
Mismatch_Intrinsic,1000,10000,thrpt,10,4.177,± 0.059,ops/us